date,state,fips,cases,deaths
2021-01-07,Guam,66,8355,124
2021-01-07,Hawaii,15,22611,297
2021-01-07,Idaho,16,147500,1519
2021-01-07,Illinois,17,1010808,18944
2021-01-07,Indiana,18,549514,8823
2021-01-07,Iowa,19,293189,4065
2021-01-07,Kansas,20,240540,3027
2021-01-07,Kentucky,21,294951,3161
2021-01-07,Louisiana,22,338054,7728
2021-01-07,Maine,23,27625,385
2021-01-07,Maryland,24,296049,6173
2021-01-07,Massachusetts,25,411601,12909
2021-01-07,Michigan,26,553222,13863
2021-01-07,Minnesota,27,429638,5640
2021-01-07,Mississippi,28,231490,5061
2021-01-07,Missouri,29,440563,6238
2021-01-07,Montana,30,84848,1039
2021-01-07,Nebraska,31,174590,1881
2021-01-07,Nevada,32,241144,3349
2021-01-07,New Hampshire,33,49261,827
2021-01-07,New Jersey,34,564750,19646
2021-01-07,New Mexico,35,151819,2682
2021-01-07,New York,36,1082142,38683
2021-01-07,North Carolina,37,595308,7262
2021-01-07,North Dakota,38,94163,1348
2021-01-07,Northern Mariana Islands,69,125,2
2021-01-07,Ohio,39,753068,9462
2021-01-07,Oklahoma,40,315354,2672
2021-01-07,Oregon,41,121087,1577
2021-01-07,Pennsylvania,42,699018,17220
2021-01-07,Puerto Rico,72,113513,1588
2021-01-07,Rhode Island,44,96591,1910
2021-01-07,South Carolina,45,338112,5661
2021-01-07,South Dakota,46,102132,1544
2021-01-07,Tennessee,47,620557,7424
2021-01-07,Texas,48,1910426,29645
2021-01-07,Utah,49,297317,1362
2021-01-07,Vermont,50,8403,155
2021-01-07,Virgin Islands,78,2042,23
2021-01-07,Virginia,51,382679,5275
2021-01-07,Washington,53,269033,3719
2021-01-07,West Virginia,54,96002,1518
2021-01-07,Wisconsin,55,540508,5485
2021-01-07,Wyoming,56,46168,489
2021-01-08,Alabama,01,394287,5191
2021-01-08,Alaska,02,49366,214
2021-01-08,Arizona,04,602146,9970
2021-01-08,Arkansas,05,248860,3966
2021-01-08,California,06,2640221,29228
2021-01-08,Colorado,08,357465,5207
2021-01-08,Connecticut,09,205994,6324
2021-01-08,Delaware,10,63503,957
2021-01-08,District of Columbia,11,31107,809
2021-01-08,Florida,12,1449244,22665
2021-01-08,Georgia,13,712785,10958
2021-01-08,Guam,66,8368,125
2021-01-08,Hawaii,15,22894,301
2021-01-08,Idaho,16,148578,1526
2021-01-08,Illinois,17,1020011,19110
2021-01-08,Indiana,18,555613,8892
2021-01-08,Iowa,19,294762,4124
2021-01-08,Kansas,20,245415,3148
2021-01-08,Kentucky,21,299476,3194
2021-01-08,Louisiana,22,341431,7833
2021-01-08,Maine,23,28407,426
2021-01-08,Maryland,24,299781,6216
2021-01-08,Massachusetts,25,419721,12985
2021-01-08,Michigan,26,557079,13903
2021-01-08,Minnesota,27,432012,5688
2021-01-08,Mississippi,28,233665,5101
2021-01-08,Missouri,29,445310,6276
2021-01-08,Montana,30,85668,1049
2021-01-08,Nebraska,31,175655,1808
2021-01-08,Nevada,32,244103,3409
2021-01-08,New Hampshire,33,50152,846
2021-01-08,New Jersey,34,571771,19756
2021-01-08,New Mexico,35,153456,2712
2021-01-08,New York,36,1101702,38846
2021-01-08,North Carolina,37,605187,7383
2021-01-08,North Dakota,38,94446,1360
2021-01-08,Northern Mariana Islands,69,125,2
2021-01-08,Ohio,39,762603,9544
2021-01-08,Oklahoma,40,320586,2703
2021-01-08,Oregon,41,122847,1590
2021-01-08,Pennsylvania,42,709235,17427
2021-01-08,Puerto Rico,72,115682,1592
2021-01-08,Rhode Island,44,97614,1916
2021-01-08,South Carolina,45,344176,5695
2021-01-08,South Dakota,46,102580,1556
2021-01-08,Tennessee,47,627776,7549
2021-01-08,Texas,48,1934504,30109
2021-01-08,Utah,49,301110,1383
2021-01-08,Vermont,50,8619,156
2021-01-08,Virgin Islands,78,2042,23
2021-01-08,Virginia,51,387917,5312
2021-01-08,Washington,53,273142,3768
2021-01-08,West Virginia,54,97898,1554
2021-01-08,Wisconsin,55,544618,5530
2021-01-08,Wyoming,56,46647,489
2021-01-09,Alabama,01,399150,5299
2021-01-09,Alaska,02,49681,215
2021-01-09,Arizona,04,611900,10083
2021-01-09,Arkansas,05,251746,4010
2021-01-09,California,06,2687450,29699
2021-01-09,Colorado,08,360857,5262
2021-01-09,Connecticut,09,205994,6324
2021-01-09,Delaware,10,64475,969
2021-01-09,District of Columbia,11,31457,813
2021-01-09,Florida,12,1464689,22803
2021-01-09,Georgia,13,724317,11096
2021-01-09,Guam,66,8373,125
2021-01-09,Hawaii,15,23122,305
2021-01-09,Idaho,16,149316,1530
2021-01-09,Illinois,17,1026639,19212
2021-01-09,Indiana,18,561579,8966
2021-01-09,Iowa,19,296171,4127
2021-01-09,Kansas,20,245521,3148
2021-01-09,Kentucky,21,303769,3214
2021-01-09,Louisiana,22,341431,7833
2021-01-09,Maine,23,29019,432
2021-01-09,Maryland,24,303535,6246
2021-01-09,Massachusetts,25,427135,13074
2021-01-09,Michigan,26,559830,14134
2021-01-09,Minnesota,27,434481,5731
2021-01-09,Mississippi,28,236868,5146
2021-01-09,Missouri,29,448586,6309
2021-01-09,Montana,30,86116,1054
2021-01-09,Nebraska,31,176645,1812
2021-01-09,Nevada,32,246659,3457
2021-01-09,New Hampshire,33,50871,862
2021-01-09,New Jersey,34,579182,19854
2021-01-09,New Mexico,35,154954,2734
2021-01-09,New York,36,1119541,39041
2021-01-09,North Carolina,37,614715,7468
2021-01-09,North Dakota,38,94566,1360
2021-01-09,Northern Mariana Islands,69,125,2
2021-01-09,Ohio,39,770977,9599
2021-01-09,Oklahoma,40,324875,2738
2021-01-09,Oregon,41,124476,1607
2021-01-09,Pennsylvania,42,718642,17681
2021-01-09,Puerto Rico,72,116245,1616
2021-01-09,Rhode Island,44,97614,1916
2021-01-09,South Carolina,45,350084,5758
2021-01-09,South Dakota,46,102901,1570
2021-01-09,Tennessee,47,634222,7634
2021-01-09,Texas,48,1952047,30441
2021-01-09,Utah,49,303723,1392
2021-01-09,Vermont,50,8790,156
2021-01-09,Virgin Islands,78,2042,23
2021-01-09,Virginia,51,393715,5381
2021-01-09,Washington,53,275832,3775
2021-01-09,West Virginia,54,99778,1570
2021-01-09,Wisconsin,55,548134,5568
2021-01-09,Wyoming,56,46719,489
2021-01-10,Alabama,01,401900,5334
2021-01-10,Alaska,02,49935,215
2021-01-10,Arizona,04,618546,10141
2021-01-10,Arkansas,05,255076,4043
2021-01-10,California,06,2729858,30000
2021-01-10,Colorado,08,363019,5279
2021-01-10,Connecticut,09,205994,6324
2021-01-10,Delaware,10,65273,972
2021-01-10,District of Columbia,11,31791,817
2021-01-10,Florida,12,1477002,22911
2021-01-10,Georgia,13,732121,11097
2021-01-10,Guam,66,8381,125
2021-01-10,Hawaii,15,23300,306
2021-01-10,Idaho,16,149742,1536
2021-01-10,Illinois,17,1031288,19295
2021-01-10,Indiana,18,566670,8985
2021-01-10,Iowa,19,296682,4138
2021-01-10,Kansas,20,245529,3148
2021-01-10,Kentucky,21,306823,3224
2021-01-10,Louisiana,22,346829,7873
2021-01-10,Maine,23,29298,432
2021-01-10,Maryland,24,306853,6272
2021-01-10,Massachusetts,25,432791,13151
2021-01-10,Michigan,26,559886,14134
2021-01-10,Minnesota,27,436640,5775
2021-01-10,Mississippi,28,239082,5167
2021-01-10,Missouri,29,450886,6316
2021-01-10,Montana,30,86324,1056
2021-01-10,Nebraska,31,177001,1815
2021-01-10,Nevada,32,248758,3470
2021-01-10,New Hampshire,33,51600,869
2021-01-10,New Jersey,34,584828,19886
2021-01-10,New Mexico,35,156157,2751
2021-01-10,New York,36,1135849,39208
2021-01-10,North Carolina,37,623503,7609
2021-01-10,North Dakota,38,94724,1360
2021-01-10,Northern Mariana Islands,69,125,2
2021-01-10,Ohio,39,777065,9627
2021-01-10,Oklahoma,40,331362,2761
2021-01-10,Oregon,41,125683,1607
2021-01-10,Pennsylvania,42,725506,17780
2021-01-10,Puerto Rico,72,116734,1630
2021-01-10,Rhode Island,44,97614,1916
2021-01-10,South Carolina,45,354525,5811
2021-01-10,South Dakota,46,103318,1585
2021-01-10,Tennessee,47,641123,7715
2021-01-10,Texas,48,1966081,30599
2021-01-10,Utah,49,305999,1393
2021-01-10,Vermont,50,8967,156
2021-01-10,Virgin Islands,78,2042,23
2021-01-10,Virginia,51,398856,5383
2021-01-10,Washington,53,276333,3776
2021-01-10,West Virginia,54,101212,1582
2021-01-10,Wisconsin,55,550260,5571
2021-01-10,Wyoming,56,46832,489
2021-01-11,Alabama,01,404000,5347
2021-01-11,Alaska,02,50111,215
2021-01-11,Arizona,04,627771,10147
2021-01-11,Arkansas,05,256344,4081
2021-01-11,California,06,2770482,30381
2021-01-11,Colorado,08,364815,5291
2021-01-11,Connecticut,09,213358,6416
2021-01-11,Delaware,10,65827,986
2021-01-11,District of Columbia,11,31993,821
2021-01-11,Florida,12,1488578,23070
2021-01-11,Georgia,13,740078,11113
2021-01-11,Guam,66,8392,125
2021-01-11,Hawaii,15,23462,306
2021-01-11,Idaho,16,150557,1552
2021-01-11,Illinois,17,1036450,19365
2021-01-11,Indiana,18,570355,9016
2021-01-11,Iowa,19,297774,4139
2021-01-11,Kansas,20,250421,3255
2021-01-11,Kentucky,21,309414,3247
